narrative_id,narrative_hash,char_count,word_count,tokens_o200k,tokens_cl100k,in_acm_baseline,acm_repetitions,has_human_assessment,assessment_evaluators,has_human_questionnaire,questionnaire_evaluators,has_any_human_validation,hash_total_rows,hash_in_acm,hash_has_assessment,hash_has_questionnaire,hash_has_any_human,hash_human_comparable
1,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,True,1,False,0,True,15,False,True,True,True,False
2,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
3,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,True,1,True,1,True,15,False,True,True,True,False
4,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
5,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
6,90da9b7800812eb1f2107f528e7aed9e8b446b67a01d15162ee1bf76c966a0d0,1257,273,357,412,False,0,False,0,False,0,False,1,False,False,False,False,False
7,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
8,f4b473ed830a589b4cab57b7cd06e9afd21407040504c93818c0b8cf7a8a1d77,740,176,225,252,False,0,False,0,False,0,False,3,False,False,False,False,False
9,f4b473ed830a589b4cab57b7cd06e9afd21407040504c93818c0b8cf7a8a1d77,740,176,225,252,False,0,False,0,False,0,False,3,False,False,False,False,False
10,f4b473ed830a589b4cab57b7cd06e9afd21407040504c93818c0b8cf7a8a1d77,740,176,225,252,False,0,False,0,False,0,False,3,False,False,False,False,False
11,8690f8dd9f2c99e89426b245c602ca778d246a75465a1e6c6221f936b4bf1b8f,307,68,86,87,False,0,False,0,False,0,False,3,False,False,False,False,False
12,8690f8dd9f2c99e89426b245c602ca778d246a75465a1e6c6221f936b4bf1b8f,307,68,86,87,False,0,False,0,False,0,False,3,False,False,False,False,False
13,8690f8dd9f2c99e89426b245c602ca778d246a75465a1e6c6221f936b4bf1b8f,307,68,86,87,False,0,False,0,False,0,False,3,False,False,False,False,False
14,a4d68949c69c1be2dcf67e83a793baca85b2e21a2a9ed4973d8b07c853ad611a,309,68,86,87,False,0,False,0,False,0,False,2,False,False,False,False,False
15,a4d68949c69c1be2dcf67e83a793baca85b2e21a2a9ed4973d8b07c853ad611a,309,68,86,87,False,0,False,0,False,0,False,2,False,False,False,False,False
16,fdeac814efde329126a4cef73b3d72b6fdee39d6e5c8abb9d5c54c8e3dfdc768,345,69,97,115,False,0,False,0,False,0,False,2,False,False,False,False,False
17,fdeac814efde329126a4cef73b3d72b6fdee39d6e5c8abb9d5c54c8e3dfdc768,345,69,97,115,False,0,False,0,False,0,False,2,False,False,False,False,False
18,650d3a655b6178d8ed33b03a2b3a8d7851a2a08659b418cb270f479ae310b755,196,46,51,51,False,0,False,0,False,0,False,1,False,False,False,False,False
19,14c47ac9479ddee363fbacdf4dcd27bad7f16aadb19e7ece072f37bf9815ff4b,96,25,29,29,False,0,False,0,False,0,False,2,False,True,False,True,False
20,14c47ac9479ddee363fbacdf4dcd27bad7f16aadb19e7ece072f37bf9815ff4b,96,25,29,29,False,0,True,1,False,0,True,2,False,True,False,True,False
21,be31125abbc5d175ac34ae55b005496f1d0f21deb07a045c99b354c33dd396a6,1030,193,263,306,False,0,True,1,False,0,True,1,False,True,False,True,False
22,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
23,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,True,1,True,1,True,15,False,True,True,True,False
24,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,True,1,True,1,True,15,False,True,True,True,False
25,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
26,006b146db16826188b01c3daf4df04f07e4fb3b5a5742b6b41972767c5686f58,659,124,169,206,False,0,False,0,False,0,False,5,False,False,False,False,False
27,006b146db16826188b01c3daf4df04f07e4fb3b5a5742b6b41972767c5686f58,659,124,169,206,False,0,False,0,False,0,False,5,False,False,False,False,False
28,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
29,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
30,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
31,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
32,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
33,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
34,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
35,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
36,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
37,089044677a2725774b1efc74ed6ba488b78bd82bc5e433801920e11cd65f7450,939,213,266,307,False,0,False,0,False,0,False,10,False,False,False,False,False
40,3caa8c11d82e6d3f4164d14e1f05e028c3f6e712eef5bf534a18b6f89bf9c029,8,1,5,6,False,0,False,0,False,0,False,1,False,False,False,False,False
41,006b146db16826188b01c3daf4df04f07e4fb3b5a5742b6b41972767c5686f58,659,124,169,206,False,0,False,0,False,0,False,5,False,False,False,False,False
42,57add6cd692137b657fa6c97c80dcb717e60e0663c40a9a2c5a01cb911390d11,3,1,1,2,False,0,False,0,False,0,False,1,False,False,False,False,False
43,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
44,3616030dfc34156e545d7ea6eb85522b878ee90c858a95fdf1ef4d48d4759463,683,128,165,166,False,0,False,0,False,0,False,1,False,False,False,False,False
45,006b146db16826188b01c3daf4df04f07e4fb3b5a5742b6b41972767c5686f58,659,124,169,206,False,0,False,0,False,0,False,5,False,False,False,False,False
46,006b146db16826188b01c3daf4df04f07e4fb3b5a5742b6b41972767c5686f58,659,124,169,206,False,0,False,0,False,0,False,5,False,False,False,False,False
47,6ab8f052be78298d382155f845b1e18a7ced3c25ba434e449d2863eb061647e4,3377,677,910,1076,False,0,False,0,False,0,False,3,True,True,True,True,True
49,c9561ad850a822941db1f4e8e21e171aba9a7f6cb227357d1d953e1b943fb3d0,3387,678,915,1081,False,0,False,0,False,0,False,1,False,False,False,False,False
52,e7d58d29e951ef40b8666f758c28898a48f24881d7edeb8eaa987ffc6c2ff2f2,909,170,228,278,False,0,False,0,False,0,False,4,True,True,True,True,True
53,e7d58d29e951ef40b8666f758c28898a48f24881d7edeb8eaa987ffc6c2ff2f2,909,170,228,278,False,0,False,0,False,0,False,4,True,True,True,True,True
54,10d810bf15200988f245d57ce1450eff9bda56da7a5c8d2ad147e75a2d152b3a,2554,570,714,831,False,0,False,0,False,0,False,1,False,False,False,False,False
55,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
56,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
58,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,352,406,False,0,False,0,False,0,False,15,False,True,True,True,False
59,939dcd7520cef4a3e3d5c8e752ac6d580307c8405ab6d5b6f29576dedf7b6abe,1239,269,373,430,False,0,False,0,False,0,False,15,False,True,True,True,False
60,1bc7b22f3bb715f041f9a633678c8caf41e62a0392a2655684b7624587ee1649,112,26,32,34,False,0,False,0,False,0,False,3,True,False,False,False,False
61,ac50db6758ec7ca0407bc97bffaada9bbdf837031a85041ce347772c653c4c94,22,5,5,5,False,0,False,0,False,0,False,2,False,False,False,False,False
62,ac50db6758ec7ca0407bc97bffaada9bbdf837031a85041ce347772c653c4c94,22,5,5,5,False,0,False,0,False,0,False,2,False,False,False,False,False
63,0a6003179229e76b65a3f8edf43b72abf3fcaa6850300d4713b6f4e9e1281d26,26,6,6,8,False,0,False,0,False,0,False,1,False,False,False,False,False
64,559d0470337b3b3afd5519bcd371ebce22cb779a85166eba50efcac843af1aa0,2282,485,709,800,False,0,False,0,False,0,False,3,True,False,False,False,False
65,559d0470337b3b3afd5519bcd371ebce22cb779a85166eba50efcac843af1aa0,2282,485,709,800,False,0,False,0,False,0,False,3,True,False,False,False,False
66,88f5457c90a4b07bed0d6edb9c884a1d07a1ff34454cba73bec3e62babf0ea3e,527,118,145,175,False,0,False,0,False,0,False,3,True,True,True,True,True
67,94755e477ddc590d85660ee74690829a8e14572a784b4c6e7e666713d6531971,140,39,49,52,False,0,True,1,True,1,True,3,True,True,True,True,True
68,abe1b6f90178e4a0257923cc88eca6511ca29eda7b60744f02205665530df7ea,3849,788,1170,1369,False,0,True,1,True,1,True,3,True,True,True,True,True
69,04bed62bbf8094f8088fb14ee16384e472b8cf7205b3dc91dd5e8ec2971560de,1309,276,588,636,False,0,True,1,True,1,True,3,True,True,True,True,True
70,0047cc18ae0daf10db0745c2616ee828db36c73306f4ea834618e8a18f36f199,413,93,120,138,False,0,False,0,False,0,False,4,True,True,True,True,True
71,0047cc18ae0daf10db0745c2616ee828db36c73306f4ea834618e8a18f36f199,413,93,120,138,False,0,True,1,True,1,True,4,True,True,True,True,True
72,04bed62bbf8094f8088fb14ee16384e472b8cf7205b3dc91dd5e8ec2971560de,1309,276,588,636,False,0,False,0,False,0,False,3,True,True,True,True,True
73,8992a50e589218b184052198320f43710710d9fdb94be64ce62f1c1a292eb237,933,203,271,313,False,0,True,1,False,0,True,4,True,True,True,True,True
74,8992a50e589218b184052198320f43710710d9fdb94be64ce62f1c1a292eb237,933,203,271,313,False,0,True,1,False,0,True,4,True,True,True,True,True
75,660011a54268da801027c0e6220ae2af6827dd55fbe854d03c14329c9575e8d1,3097,635,822,951,False,0,False,0,True,1,True,3,True,True,True,True,True
76,0047cc18ae0daf10db0745c2616ee828db36c73306f4ea834618e8a18f36f199,413,93,120,138,False,0,True,1,False,0,True,4,True,True,True,True,True
77,8992a50e589218b184052198320f43710710d9fdb94be64ce62f1c1a292eb237,933,203,271,313,False,0,True,1,True,1,True,4,True,True,True,True,True
78,660011a54268da801027c0e6220ae2af6827dd55fbe854d03c14329c9575e8d1,3097,635,822,951,False,0,True,1,True,1,True,3,True,True,True,True,True
82,b08fdbf74487c0f555f79ec6894b56f595fb66b934a7c3571d4321d6ec135ced,1957,419,564,649,False,0,True,1,True,1,True,2,True,True,True,True,True
83,9b385611cdfdec1e8aa09f6a8086a25e6045c4d498884d6e2bbc90d260b328b7,1540,286,455,538,False,0,True,1,True,1,True,3,True,True,True,True,True
84,f8988ea1a69b7d606c9cc9cd19258a695e0d9db7e7d41a8ebdd2e5184e5a535f,1240,243,343,401,False,0,False,0,False,0,False,3,True,True,True,True,True
85,f8988ea1a69b7d606c9cc9cd19258a695e0d9db7e7d41a8ebdd2e5184e5a535f,1240,243,343,401,False,0,True,1,True,1,True,3,True,True,True,True,True
86,6485dc47bf96448d42c67c4f4e90bd51f1d1dbaaf3edc63ed5b7d3cac1a88c6a,127,23,38,45,False,0,True,1,True,1,True,2,True,True,True,True,True
87,5d210db456e4c5675f9e3665823feb0baa20fc464a7693b21fdbe63dab283948,1760,411,496,566,False,0,False,0,False,0,False,3,True,True,False,True,True
88,5d210db456e4c5675f9e3665823feb0baa20fc464a7693b21fdbe63dab283948,1760,411,496,566,False,0,True,1,False,0,True,3,True,True,False,True,True
89,765df969ad10afa6a81761765b2c5311bb7b063c578d0626372a6a4c4f089612,5797,1311,1748,1969,False,0,True,1,True,1,True,2,True,True,True,True,True
90,94755e477ddc590d85660ee74690829a8e14572a784b4c6e7e666713d6531971,140,39,49,52,False,0,True,1,True,1,True,3,True,True,True,True,True
91,102bb35c479b02082448aa763a3b7abb18704ecb51f9eb545213795b127e9e90,1099,217,309,362,False,0,True,1,True,1,True,2,True,True,True,True,True
92,426ef2b7ba17db1ae740f5815304675263d67156d22ebbe7c541b1024131c069,240,52,71,77,False,0,True,1,False,0,True,2,True,True,False,True,True
93,0be1574eb7a86e9cbd43cf4990f132508fbe10026c2b76c90f82b91fa0bbcc9c,328,54,99,114,False,0,True,1,True,1,True,3,True,True,True,True,True
94,0be1574eb7a86e9cbd43cf4990f132508fbe10026c2b76c90f82b91fa0bbcc9c,328,54,99,114,False,0,True,1,True,1,True,3,True,True,True,True,True
95,88f5457c90a4b07bed0d6edb9c884a1d07a1ff34454cba73bec3e62babf0ea3e,527,118,145,175,False,0,True,1,True,1,True,3,True,True,True,True,True
96,12338b85be6e5fb17b857412b986635624479c90764450f760be93323e53e240,631,125,180,212,False,0,True,1,True,1,True,2,True,True,True,True,True
97,dbe349af7f0e935ca695f536c51976354203dc47498c7f8865676598a2f632ec,376,81,111,128,False,0,True,1,True,1,True,2,True,True,True,True,True
98,a87fd6a2360e559968e83b2ebad156ac3b0333bd3e25a17ac15262664d81b192,850,165,228,264,False,0,False,0,False,0,False,3,True,True,True,True,True
99,a87fd6a2360e559968e83b2ebad156ac3b0333bd3e25a17ac15262664d81b192,850,165,228,264,False,0,True,1,True,1,True,3,True,True,True,True,True
100,347c0ecf7407c78677e686a261bde20f9ee2b21b04c71e677c034fa24b33ca90,263,56,71,78,False,0,True,1,False,0,True,3,True,True,True,True,True
101,347c0ecf7407c78677e686a261bde20f9ee2b21b04c71e677c034fa24b33ca90,263,56,71,78,False,0,False,0,True,1,True,3,True,True,True,True,True
102,5116726cd4355b61099615493de4addc92eed9271d1267656428761cfdd41d8a,777,157,233,272,False,0,True,1,True,1,True,2,True,True,True,True,True
103,1a40ef21df8c23e3f9e6e9ad298c8c331bba14e13bdeceb53922402e929da0ea,3998,906,1080,1249,False,0,True,1,True,1,True,2,True,True,True,True,True
104,3864665853f97cd04fe31f3b743eee60a537179693c967cb743ff80c25dc9d3f,1202,253,322,392,False,0,True,1,True,1,True,2,True,True,True,True,True
105,abe1b6f90178e4a0257923cc88eca6511ca29eda7b60744f02205665530df7ea,3849,788,1170,1369,False,0,False,0,False,0,False,3,True,True,True,True,True
106,0529c918dbc1c3d8bb577e6e1ff0542c65741418009e80a2dc888f0bbd26bf45,3222,675,915,1065,False,0,True,1,False,0,True,4,True,True,True,True,True
107,ab4f91f6f80a6b0a116bac80d08bc32798887baeeeb577a0a17f60ce4d111f4b,326,68,92,105,False,0,True,1,True,1,True,2,True,True,True,True,True
108,eb2e1af17d994044e7ad6dfc5fa6367a32f135c603f3da63ae2e7a9f1948e158,2512,516,732,811,False,0,False,0,True,1,True,2,True,False,True,True,True
109,0529c918dbc1c3d8bb577e6e1ff0542c65741418009e80a2dc888f0bbd26bf45,3222,675,915,1065,False,0,False,0,False,0,False,4,True,True,True,True,True
110,0529c918dbc1c3d8bb577e6e1ff0542c65741418009e80a2dc888f0bbd26bf45,3222,675,915,1065,False,0,False,0,True,1,True,4,True,True,True,True,True
111,db05d340c71f43e67cb4699f935dc4d5a3f1c2c61de41faa65944d355b5f21b9,959,196,256,308,False,0,True,1,True,1,True,2,True,True,True,True,True
112,146e57eee630c6f33606058994e43b2e9e07972ada97bb05289ec7d623534707,3869,829,1093,1271,False,0,True,1,True,1,True,2,True,True,True,True,True
113,8ac4e88a26932c023192a82ed5848f4f2e3b4c3b6b7306961ce888ec0306dd2a,2377,478,597,723,False,0,True,1,True,1,True,1,False,True,True,True,False
114,d80f947e263baf378c3eb62d7e67c80bf806b8a283cc0abc220bc0fcccee972d,799,175,214,259,False,0,True,1,True,1,True,2,True,True,True,True,True
115,c3f64487fa8be03c30b48efbfe180445754281bf8bce4572a17cb36ef948588e,1013,212,298,357,False,0,True,1,True,1,True,2,True,True,True,True,True
116,478de6acdfbbf0fd9e31adfd32138882f5bb7b08cf0fc790cf910d4d511d15f0,7599,1509,2153,2557,False,0,True,1,True,1,True,2,True,True,True,True,True
117,e7d58d29e951ef40b8666f758c28898a48f24881d7edeb8eaa987ffc6c2ff2f2,909,170,227,277,False,0,True,1,True,1,True,4,True,True,True,True,True
118,525659f601ce54f3dfc4f125ad0b0a45a171a072ea0536d0101c7dbcee2c8cd6,916,183,270,309,False,0,True,1,True,1,True,3,True,True,True,True,True
119,525659f601ce54f3dfc4f125ad0b0a45a171a072ea0536d0101c7dbcee2c8cd6,916,183,270,309,False,0,False,0,False,0,False,3,True,True,True,True,True
120,0d9e282fda9496fb8daa610067ec4c6d42794f5cd214608a9544797e853bd218,1636,317,448,532,False,0,True,1,True,1,True,1,False,True,True,True,False
122,091d991e36f0e73c18f921da5571f2f48cbe5ce4ef104fdde8962d30007bb742,265,59,84,92,False,0,True,1,True,1,True,2,True,True,True,True,True
123,6ab8f052be78298d382155f845b1e18a7ced3c25ba434e449d2863eb061647e4,3377,677,909,1075,False,0,True,1,True,1,True,3,True,True,True,True,True
124,75f2899cfe0692256b9eddb2f4658cfad47e0e86658570bddb79551aea13675c,491,86,145,171,False,0,True,1,True,1,True,2,True,True,True,True,True
125,0b74b4bb257001056e2e1268d147a3470b309da0d93c36b70d04fb0c980fb348,1063,218,296,341,False,0,True,1,False,0,True,3,True,True,True,True,True
126,2562da0c894701ed80f4ab63d1fa7fd2a02561b3973d420df0904175d8944e21,3150,659,851,981,False,0,True,1,True,1,True,1,False,True,True,True,False
127,fe8f84c66e7a8cf3112034bcb1251c5bed82314899fcd874ca2f24590a717f66,793,147,224,258,False,0,True,1,True,1,True,1,False,True,True,True,False
128,0b74b4bb257001056e2e1268d147a3470b309da0d93c36b70d04fb0c980fb348,1063,218,296,341,False,0,False,0,True,1,True,3,True,True,True,True,True
129,964837b131f0a92bc12108664cd403773b153679a850909be9da8bab008dfe86,359,82,153,161,False,0,True,1,True,1,True,2,True,True,True,True,True
130,e59de124290610e0eb26aeb221715e97853e773165b20b6a0a8be2831a129e4a,3117,678,853,999,False,0,True,1,True,1,True,2,True,True,True,True,True
131,741ba602b41155fc306f9d3d1b777f31e2cb94a8ebd91833d4019a8ff713730b,404,92,110,128,False,0,True,1,True,1,True,2,True,True,True,True,True
132,4ac33b50b125e77b265fd52a41cb4917f47e2383e2b8a58fd9cd2060d5372888,2525,531,686,796,False,0,False,0,False,0,False,3,True,False,False,False,False
133,4ac33b50b125e77b265fd52a41cb4917f47e2383e2b8a58fd9cd2060d5372888,2525,531,686,796,False,0,False,0,False,0,False,3,True,False,False,False,False
135,7fe5f6af8ace424bb03cc5790cb4a7880c023440ddc0b1c4b239eb0009a187d5,306,63,87,101,False,0,False,0,False,0,False,3,True,False,False,False,False
136,7fe5f6af8ace424bb03cc5790cb4a7880c023440ddc0b1c4b239eb0009a187d5,306,63,87,101,False,0,False,0,False,0,False,3,True,False,False,False,False
137,7fe5f6af8ace424bb03cc5790cb4a7880c023440ddc0b1c4b239eb0009a187d5,306,63,87,101,True,3,False,0,False,0,False,3,True,False,False,False,False
138,741ba602b41155fc306f9d3d1b777f31e2cb94a8ebd91833d4019a8ff713730b,404,92,111,129,True,3,False,0,False,0,False,2,True,True,True,True,True
139,94755e477ddc590d85660ee74690829a8e14572a784b4c6e7e666713d6531971,140,39,49,52,True,3,False,0,False,0,False,3,True,True,True,True,True
140,88f5457c90a4b07bed0d6edb9c884a1d07a1ff34454cba73bec3e62babf0ea3e,527,118,146,176,True,3,False,0,False,0,False,3,True,True,True,True,True
141,559d0470337b3b3afd5519bcd371ebce22cb779a85166eba50efcac843af1aa0,2282,485,709,800,True,3,False,0,False,0,False,3,True,False,False,False,False
142,abe1b6f90178e4a0257923cc88eca6511ca29eda7b60744f02205665530df7ea,3849,788,1172,1371,True,3,False,0,False,0,False,3,True,True,True,True,True
143,bb3509ad7b5599e408555ac3facab9e1fb4d95542c93336e051779f2106d43cf,775,143,203,250,True,3,False,0,False,0,False,1,True,False,False,False,False
144,04bed62bbf8094f8088fb14ee16384e472b8cf7205b3dc91dd5e8ec2971560de,1309,276,589,637,True,3,False,0,False,0,False,3,True,True,True,True,True
145,6ab8f052be78298d382155f845b1e18a7ced3c25ba434e449d2863eb061647e4,3377,677,914,1080,True,3,False,0,False,0,False,3,True,True,True,True,True
